"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Spotify API Automation","0","User Profile","3","0","Get Current User ID","0"
"0","Spotify Oauth 2.0","0","PlayList Api","12","0","Create a PlayList Story","0"
"0","","0","","47","0","","0"
"1","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Delete Track Negative Scenarios","0"
"4","Spotify Oauth 2.0","2","PlayList Api","29","0","","0"
"0","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Unauthorized Access","0"
"0","Spotify API Automation","1","Playlist – Delete Playlist API","2","0","Invalid Playlist ID","0"
"0","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Track Not Found","0"
"0","","0","","2","0","Invalid Playlist ID","0"
"0","","0","","2","0","Unauthorized Playlist Access","0"
"0","Spotify API Negative Tests","0","Get Current User Negative Cases","2","0","Invalid Token","0"
"0","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Null Body","0"
"0","Spotify API Automation","0","Playlist – Delete Playlist API","2","0","Unauthorized Token","0"
"0","","0","","2","0","Empty Tracks Array","0"
"0","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Invalid Track URI","0"
"0","Spotify API Automation","0","Playlist – Delete Playlist API","2","0","Forbidden - Not Owner","0"
"0","Spotify API Automation","0","Playlist – Delete Playlist API","2","0","Delete existing playlist","0"
"0","Spotify API Negative Tests","0","Get Current User Negative Cases","2","0","No Authorization Header","0"
"0","Spotify Oauth 2.0","0","PlayList Api","3","0","Negative PlayList Story","0"
"0","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Empty Tracks Array","0"
"0","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Missing Tracks Field","0"
"0","","0","","2","0","Unauthorized Access","0"
"0","","0","","2","0","Invalid Track URI","0"
"0","Spotify API Automation","0","Playlist – Delete Playlist API","2","0","Playlist Not Found","0"
"0","","0","","2","0","Null Body","0"
"0","Spotify API Automation","0","Playlist – Remove Tracks","2","0","Wrong Content-Type","0"
"0","Spotify API Automation","0","Playlist – Delete Playlist API","1","0","Null Playlist ID","0"
"0","","1","","0","0","Missing Tracks Field","0"
"0","","0","","2","0","Track Not Found","0"
